"","gene.list"
"762","TIPRL"
"763","SFT2D2"
"764","TBX19"
"765","XCL1"
"766","ATP1B1"
"767","BLZF1"
"768","SCYL3"
"769","GORAB"
"770","PRRX1"
"771","FMO3"
"772","FMO6P"
"773","FMO2"
"774","FMO1"
"775","FMO4"
"776","BAT2L2"
"777","METTL13"
"778","DNM3"
"779","C1orf9"
"780","FASLG"
"781","PRDX6"
"782","KLHL20"
"783","DARS2"
"784","ZBTB37"
"785","RABGAP1L"
"786","GPR52"
"787","CACYBP"
"788","TNN"
"789","PAPPA2"
"790","FAM5B"
"791","RASAL2"
"792","C1orf220"
"793","RALGPS2"
"794","FAM20B"
"795","TOR3A"
"796","SOAT1"
"797","TDRD5"
"798","FAM163A"
"799","TOR1AIP1"
"800","CEP350"
"801","QSOX1"
"802","LHX4"
"803","XPR1"
"804","KIAA1614"
"805","MR1"
"806","IER5"
"807","CACNA1E"
"808","NPL"
"809","DHX9"
"810","LAMC1"
"811","LAMC2"
"812","SMG7"
"813","RGL1"
"814","TSEN15"
"815","C1orf21"
"816","RNF2"
"817","C1orf26"
"818","HMCN1"
"819","PRG4"
"820","C1orf27"
"821","OCLM"
"822","PLA2G4A"
"823","RGS1"
"824","RGS13"
"825","RPS27A"
"826","RGS2"
"827","TROVE2"
"828","CDC73"
"829","CFH"
"830","CRB1"
"831","C1orf53"
"832","LHX9"
"833","NEK7"
"834","PTPRC"
"835","NR5A2"
"836","FAM58B"
"837","CAMSAP1L1"
"838","GPR25"
"839","C1orf106"
"840","IGFN1"
"841","PKP1"
"842","RPS10P7"
"843","NAV1"
"844","IPO9"
"845","SHISA4"
"846","TIMM17A"
"847","RNPEP"
"848","ELF3"
"849","GPR37L1"
"850","LGR6"
"851","PPP1R12B"
"852","OCR1"
"853","TMEM183A"
"854","PPFIA4"
"855","ADORA1"
"856","BTG2"
"857","PRELP"
"858","OPTC"
"859","ATP2B4"
"860","NCRNA00260"
"861","LAX1"
"862","ZC3H11A"
"863","SNRPE"
"864","SOX13"
"865","MDM4"
"866","NFASC"
"867","CNTN2"
"868","TMCC2"
"869","CDK18"
"870","MFSD4"
"871","NUCKS1"
"872","LOC284581"
"873","AVPR1B"
